iter,loss,mbox_loss,lr
331030,0.784884,0.941963,1.00E-06
331530,0.776133,1.2695,1.00E-06
332030,0.780516,1.17045,1.00E-06
332530,0.837651,0.771913,1.00E-06
333030,0.820944,0.9712,1.00E-06
333530,0.863392,0.877747,1.00E-06
334030,0.638544,0.635629,1.00E-06
334530,0.781483,0.947173,1.00E-06
335030,0.791872,0.82782,1.00E-06
335530,0.753805,0.554352,1.00E-06
336030,0.776991,0.650748,1.00E-06
336530,0.782979,1.07799,1.00E-06
337030,0.756402,0.68824,1.00E-06
337530,0.771046,0.942338,1.00E-06
338030,0.837242,0.6607,1.00E-06
338530,0.776909,0.493147,1.00E-06
339030,0.793049,0.817512,1.00E-06
339530,0.691182,0.544988,1.00E-06
340030,0.816397,0.694937,1.00E-06
340530,0.894494,0.752744,1.00E-06
341030,0.7897,0.758886,1.00E-06
341530,0.731299,0.643363,1.00E-06
342030,0.788418,0.588074,1.00E-06
342530,0.768319,0.919211,1.00E-06
343030,0.757047,0.656451,1.00E-06
343530,0.702971,0.744061,1.00E-06
344030,0.861604,0.895927,1.00E-06
344530,0.778064,0.892977,1.00E-06
345030,0.764887,0.865854,1.00E-06
345530,0.744041,0.755025,1.00E-06
346030,0.932817,0.800044,1.00E-06
346530,0.668203,0.55695,1.00E-06
347030,0.689791,0.574274,1.00E-06
347530,0.735969,0.514565,1.00E-06
348030,0.801775,0.977036,1.00E-06
348530,0.783391,0.407214,1.00E-06
349030,0.794194,0.643688,1.00E-06
349530,0.816122,0.71636,1.00E-06
350030,0.829135,0.669982,1.00E-06
350530,0.788589,0.74121,1.00E-06
351030,0.766689,0.531449,1.00E-06
351530,0.775551,0.553675,1.00E-06
352030,0.769549,0.617698,1.00E-06
352530,0.770659,0.527694,1.00E-06
353030,0.762311,0.569912,1.00E-06
353530,0.781889,0.829049,1.00E-06
354030,0.848993,0.841104,1.00E-06
354530,0.883456,0.735846,1.00E-06
355030,0.743668,0.531739,1.00E-06
355530,0.892197,1.10809,1.00E-06
356030,0.836268,0.890444,1.00E-06
356530,0.715958,0.619157,1.00E-06
357030,0.785083,0.61189,1.00E-06
357530,0.734488,0.827964,1.00E-06
358030,0.79075,0.770935,1.00E-06
358530,0.817166,0.940055,1.00E-06
359030,0.810208,0.835791,1.00E-06
359530,0.923912,1.26553,1.00E-06
360030,0.876724,0.851957,1.00E-06
360530,0.797169,0.786806,1.00E-06
361030,0.72984,0.651266,1.00E-06
361530,0.793646,0.651054,1.00E-06
